log10 N | Total Time | log10 error | standard dev.
4.000000 | 0.003698 | -1.792490 | 0.007975
4.000000 | 0.003627 | -1.851270 | 0.008833
4.000000 | 0.003627 | -1.573693 | 0.010121
4.000000 | 0.003624 | -1.557824 | 0.012358
4.000000 | 0.003536 | -2.235347 | 0.008831
4.000000 | 0.003557 | -1.828216 | 0.009855
4.000000 | 0.003835 | -1.031615 | 0.010742
4.000000 | 0.003560 | -1.626893 | 0.009453
4.000000 | 0.003570 | -1.214372 | 0.013808
4.000000 | 0.003719 | -1.441648 | 0.009152
4.000000 | 0.003763 | -1.696286 | 0.008088
4.000000 | 0.003522 | -1.348352 | 0.008027
4.000000 | 0.003673 | -1.420479 | 0.012516
4.000000 | 0.003568 | -1.140238 | 0.008195
4.000000 | 0.003625 | -1.429003 | 0.009004
4.000000 | 0.003677 | -1.041640 | 0.011410
4.000000 | 0.003587 | -1.235290 | 0.008862
4.000000 | 0.003970 | -1.392116 | 0.012534
4.000000 | 0.003746 | -0.964785 | 0.011078
4.000000 | 0.003599 | -2.369306 | 0.010581
4.000000 | 0.003686 | -1.157529 | 0.011215
4.000000 | 0.003595 | -1.845830 | 0.008925
4.000000 | 0.003563 | -1.899281 | 0.017787
4.000000 | 0.003727 | -1.390992 | 0.009539
4.000000 | 0.003587 | -1.174871 | 0.008556
4.000000 | 0.003561 | -1.205637 | 0.008034
4.000000 | 0.003630 | -0.956689 | 0.013125
4.000000 | 0.003510 | -1.314475 | 0.010625
4.000000 | 0.003665 | -1.547516 | 0.010164
4.000000 | 0.003605 | -1.589102 | 0.008777
4.000000 | 0.003581 | -2.041203 | 0.008577
4.000000 | 0.003806 | -1.531181 | 0.008029
4.000000 | 0.003559 | -1.406849 | 0.007909
4.000000 | 0.003566 | -1.405314 | 0.009632
4.000000 | 0.003603 | -1.891207 | 0.010324
4.000000 | 0.003534 | -1.805481 | 0.011698
4.000000 | 0.003726 | -1.645947 | 0.008883
4.000000 | 0.003591 | -1.277906 | 0.008110
4.000000 | 0.003558 | -1.319011 | 0.011040
4.000000 | 0.003609 | -2.261460 | 0.008351
4.000000 | 0.003567 | -1.873175 | 0.013382
4.000000 | 0.003638 | -1.111392 | 0.010100
4.000000 | 0.003674 | -1.898560 | 0.008650
4.000000 | 0.003576 | -1.098151 | 0.011926
4.000000 | 0.003617 | -1.552011 | 0.010342
4.000000 | 0.003572 | -1.554367 | 0.008033
4.000000 | 0.003592 | -1.647115 | 0.011586
4.000000 | 0.003581 | -2.108389 | 0.008407
4.000000 | 0.003579 | -1.245688 | 0.008539
4.000000 | 0.003576 | -2.127788 | 0.008649
4.000000 | 0.003661 | -1.632232 | 0.009458
4.000000 | 0.003609 | -2.081411 | 0.008850
4.000000 | 0.003629 | -1.533285 | 0.013322
4.000000 | 0.003588 | -1.386290 | 0.010461
4.000000 | 0.003566 | -1.222584 | 0.010974
4.000000 | 0.003570 | -1.410790 | 0.009129
4.000000 | 0.003585 | -3.072671 | 0.010567
4.000000 | 0.003609 | -2.406081 | 0.010192
4.000000 | 0.003572 | -1.497671 | 0.009148
4.000000 | 0.003683 | -1.514234 | 0.010478
4.000000 | 0.003635 | -1.604722 | 0.008840
4.000000 | 0.003527 | -1.812851 | 0.008399
4.000000 | 0.003550 | -1.083183 | 0.017521
4.000000 | 0.003552 | -1.515693 | 0.008738
4.000000 | 0.003675 | -2.438590 | 0.009400
4.000000 | 0.003580 | -2.351378 | 0.009593
4.000000 | 0.003597 | -1.773864 | 0.008923
4.000000 | 0.003554 | -1.797671 | 0.010461
4.000000 | 0.003560 | -1.915515 | 0.008635
4.000000 | 0.003578 | -1.090897 | 0.008764
4.000000 | 0.003589 | -1.281158 | 0.010134
4.000000 | 0.003638 | -1.118179 | 0.009028
4.000000 | 0.003582 | -1.416664 | 0.011053
4.000000 | 0.003523 | -1.169545 | 0.010716
4.000000 | 0.003644 | -1.894618 | 0.008580
4.000000 | 0.003578 | -1.358508 | 0.009707
4.000000 | 0.003677 | -1.525140 | 0.011453
4.000000 | 0.003641 | -1.807600 | 0.009945
4.000000 | 0.003524 | -0.813755 | 0.017382
4.000000 | 0.003574 | -1.865307 | 0.010235
4.000000 | 0.003576 | -1.276557 | 0.009662
4.000000 | 0.005733 | -1.138118 | 0.009758
4.000000 | 0.003967 | -1.464352 | 0.012005
4.000000 | 0.003860 | -1.663476 | 0.010686
4.000000 | 0.003771 | -1.036490 | 0.008594
4.000000 | 0.003730 | -1.631039 | 0.009793
4.000000 | 0.003816 | -1.367785 | 0.012046
4.000000 | 0.003841 | -1.108132 | 0.008221
4.000000 | 0.003755 | -1.130263 | 0.012078
4.000000 | 0.003885 | -1.708278 | 0.008424
4.000000 | 0.003754 | -1.497551 | 0.010030
4.000000 | 0.003903 | -1.743306 | 0.009042
4.000000 | 0.004266 | -0.989269 | 0.011365
4.000000 | 0.003847 | -2.405512 | 0.008910
4.000000 | 0.003952 | -1.231556 | 0.010220
4.000000 | 0.003971 | -1.821875 | 0.009383
4.000000 | 0.004122 | -1.768725 | 0.008606
4.000000 | 0.004052 | -1.251476 | 0.008775
4.000000 | 0.005401 | -2.652489 | 0.008951
4.000000 | 0.003548 | -1.156144 | 0.007909
