log10 N | Total Time | log10 error | standard dev.
8.000000 | 16.781852 | -4.215123 | 0.000212
8.000000 | 15.480227 | -3.141854 | 0.000213
8.000000 | 15.701591 | -3.244276 | 0.000208
8.000000 | 15.569372 | -2.895860 | 0.000208
8.000000 | 15.978420 | -3.747053 | 0.000208
8.000000 | 15.452180 | -3.455176 | 0.000209
8.000000 | 15.449359 | -3.378414 | 0.000209
8.000000 | 15.536669 | -3.967075 | 0.000212
8.000000 | 15.439847 | -2.825513 | 0.000206
8.000000 | 15.453888 | -4.496449 | 0.000213
8.000000 | 15.470840 | -2.882859 | 0.000210
8.000000 | 15.531509 | -3.919773 | 0.000208
8.000000 | 15.465502 | -3.753139 | 0.000230
8.000000 | 15.636608 | -4.710708 | 0.000207
8.000000 | 15.725269 | -2.778409 | 0.000210
8.000000 | 16.483363 | -2.998787 | 0.000213
8.000000 | 15.669089 | -3.094942 | 0.000208
8.000000 | 15.440224 | -3.513838 | 0.000210
8.000000 | 15.935724 | -2.920566 | 0.000213
8.000000 | 15.537187 | -3.235238 | 0.000231
8.000000 | 16.430352 | -2.836112 | 0.000209
8.000000 | 16.469208 | -3.196065 | 0.000215
8.000000 | 15.549137 | -2.707288 | 0.000211
8.000000 | 15.469696 | -3.650361 | 0.000210
8.000000 | 15.456231 | -3.533349 | 0.000209
8.000000 | 15.430209 | -2.984836 | 0.000210
8.000000 | 15.517747 | -3.319422 | 0.000209
8.000000 | 15.484593 | -3.146776 | 0.000209
8.000000 | 15.451437 | -3.083811 | 0.000213
8.000000 | 15.476134 | -3.242039 | 0.000211
8.000000 | 16.651038 | -2.937094 | 0.000216
8.000000 | 15.472416 | -2.825677 | 0.000212
8.000000 | 15.505784 | -3.128709 | 0.000216
8.000000 | 15.470645 | -3.496308 | 0.000210
8.000000 | 15.536099 | -3.198953 | 0.000207
8.000000 | 15.464397 | -3.026861 | 0.000208
8.000000 | 15.590479 | -3.022846 | 0.000207
8.000000 | 15.752800 | -2.626009 | 0.000207
8.000000 | 15.556528 | -3.367997 | 0.000218
8.000000 | 15.495021 | -2.813160 | 0.000205
8.000000 | 15.581760 | -4.283060 | 0.000208
8.000000 | 15.546670 | -3.395708 | 0.000209
8.000000 | 15.521057 | -3.047793 | 0.000210
8.000000 | 15.528344 | -3.455052 | 0.000213
8.000000 | 15.482521 | -2.910833 | 0.000221
8.000000 | 15.511720 | -2.935181 | 0.000209
8.000000 | 15.478700 | -3.506382 | 0.000213
8.000000 | 15.462991 | -3.691591 | 0.000212
8.000000 | 15.456252 | -4.156672 | 0.000215
8.000000 | 15.511540 | -3.057451 | 0.000207
8.000000 | 15.485490 | -2.958053 | 0.000209
8.000000 | 15.450745 | -3.089110 | 0.000211
8.000000 | 15.457412 | -3.077658 | 0.000213
8.000000 | 15.539983 | -3.800195 | 0.000213
8.000000 | 15.437289 | -2.689345 | 0.000212
8.000000 | 15.443826 | -3.038359 | 0.000211
8.000000 | 15.480531 | -3.884970 | 0.000208
8.000000 | 15.510068 | -2.628960 | 0.000207
8.000000 | 16.296450 | -3.005398 | 0.000211
8.000000 | 16.399771 | -3.620880 | 0.000209
8.000000 | 15.681617 | -3.074038 | 0.000207
8.000000 | 15.522955 | -4.080342 | 0.000207
8.000000 | 15.473921 | -2.817624 | 0.000207
8.000000 | 15.439506 | -3.197545 | 0.000210
8.000000 | 15.446738 | -4.278389 | 0.000208
8.000000 | 15.513528 | -4.016542 | 0.000206
8.000000 | 15.460768 | -2.667047 | 0.000210
8.000000 | 15.488366 | -5.739584 | 0.000214
8.000000 | 15.483660 | -3.878829 | 0.000206
8.000000 | 15.515630 | -3.167547 | 0.000211
8.000000 | 15.633657 | -3.272981 | 0.000209
8.000000 | 15.667439 | -3.387529 | 0.000212
8.000000 | 16.575732 | -3.107091 | 0.000216
8.000000 | 15.593473 | -2.444327 | 0.000213
8.000000 | 15.958117 | -2.817693 | 0.000211
8.000000 | 15.443744 | -2.777779 | 0.000212
8.000000 | 15.925924 | -2.923841 | 0.000211
8.000000 | 15.444485 | -3.186869 | 0.000213
8.000000 | 15.476551 | -2.688589 | 0.000207
8.000000 | 15.447199 | -3.875830 | 0.000211
8.000000 | 15.528132 | -2.980714 | 0.000211
8.000000 | 15.447073 | -3.316127 | 0.000209
8.000000 | 15.444319 | -2.645697 | 0.000217
8.000000 | 15.447223 | -2.810800 | 0.000212
8.000000 | 15.522850 | -2.682770 | 0.000218
8.000000 | 15.446582 | -2.808862 | 0.000209
8.000000 | 15.454045 | -2.729712 | 0.000207
8.000000 | 15.515413 | -3.015011 | 0.000208
8.000000 | 15.510521 | -3.191788 | 0.000211
8.000000 | 15.499512 | -3.490469 | 0.000209
8.000000 | 15.442235 | -2.849948 | 0.000207
8.000000 | 15.465774 | -2.808800 | 0.000217
8.000000 | 15.498706 | -3.095966 | 0.000214
8.000000 | 15.466393 | -2.719715 | 0.000218
8.000000 | 15.490207 | -2.901275 | 0.000216
8.000000 | 15.455828 | -3.070479 | 0.000213
8.000000 | 15.504898 | -3.305302 | 0.000207
8.000000 | 16.490382 | -3.131118 | 0.000208
8.000000 | 16.536780 | -3.146550 | 0.000208
8.000000 | 15.524324 | -3.577472 | 0.000210
