log10 N | Total Time | log10 error | standard dev.
6.000000 | 0.158985 | -2.000243 | 0.001912
6.000000 | 0.157547 | -2.752221 | 0.002128
6.000000 | 0.155637 | -2.691557 | 0.002015
6.000000 | 0.159983 | -2.870365 | 0.001909
6.000000 | 0.232710 | -2.134164 | 0.002151
6.000000 | 0.157731 | -3.113475 | 0.002010
6.000000 | 0.156026 | -2.663042 | 0.002202
6.000000 | 0.288676 | -2.879737 | 0.002018
6.000000 | 0.290764 | -2.004119 | 0.002109
6.000000 | 0.214305 | -3.827725 | 0.002067
6.000000 | 0.164056 | -2.045295 | 0.001933
6.000000 | 0.189165 | -2.033864 | 0.002085
6.000000 | 0.195461 | -2.074745 | 0.001923
6.000000 | 0.166875 | -1.856348 | 0.001809
6.000000 | 0.160732 | -2.142783 | 0.002171
6.000000 | 0.239074 | -1.947656 | 0.002024
6.000000 | 0.328294 | -1.717736 | 0.001997
6.000000 | 0.200075 | -2.091797 | 0.001961
6.000000 | 0.159858 | -2.535413 | 0.001915
6.000000 | 0.157674 | -1.709330 | 0.002474
6.000000 | 0.156831 | -2.595393 | 0.002047
6.000000 | 0.157237 | -2.628351 | 0.002038
6.000000 | 0.158359 | -2.295975 | 0.002029
6.000000 | 0.156952 | -1.932246 | 0.002090
6.000000 | 0.158355 | -1.829002 | 0.001895
6.000000 | 0.157037 | -2.856483 | 0.002128
6.000000 | 0.157564 | -3.633102 | 0.002050
6.000000 | 0.156964 | -2.481263 | 0.002046
6.000000 | 0.158108 | -2.936773 | 0.001920
6.000000 | 0.156507 | -2.002038 | 0.001918
6.000000 | 0.156222 | -2.433982 | 0.001929
6.000000 | 0.156490 | -2.163293 | 0.001886
6.000000 | 0.157877 | -2.129236 | 0.002461
6.000000 | 0.157165 | -1.920381 | 0.002131
6.000000 | 0.156085 | -1.890047 | 0.002280
6.000000 | 0.156938 | -2.783928 | 0.001928
6.000000 | 0.156439 | -3.955489 | 0.002133
6.000000 | 0.158146 | -2.192334 | 0.002108
6.000000 | 0.155868 | -2.428422 | 0.002018
6.000000 | 0.157379 | -2.414446 | 0.002348
6.000000 | 0.157479 | -1.924519 | 0.002282
6.000000 | 0.158173 | -2.096105 | 0.002065
6.000000 | 0.157123 | -1.453418 | 0.002178
6.000000 | 0.155879 | -2.074999 | 0.002058
6.000000 | 0.156508 | -1.830179 | 0.002280
6.000000 | 0.156859 | -2.912288 | 0.001874
6.000000 | 0.158394 | -2.397604 | 0.002043
6.000000 | 0.156561 | -1.770173 | 0.001957
6.000000 | 0.157869 | -1.709212 | 0.001841
6.000000 | 0.179777 | -2.437962 | 0.002925
6.000000 | 0.173119 | -2.324052 | 0.002157
6.000000 | 0.158721 | -2.700110 | 0.002235
6.000000 | 0.155719 | -1.570215 | 0.004661
6.000000 | 0.158824 | -2.094858 | 0.002142
6.000000 | 0.158171 | -3.655962 | 0.002231
6.000000 | 0.155848 | -2.141277 | 0.002230
6.000000 | 0.177763 | -3.327495 | 0.002007
6.000000 | 0.159826 | -1.715593 | 0.002078
6.000000 | 0.157013 | -2.774673 | 0.002121
6.000000 | 0.156933 | -2.242519 | 0.002032
6.000000 | 0.155917 | -1.982219 | 0.002128
6.000000 | 0.159360 | -1.715608 | 0.002068
6.000000 | 0.157263 | -1.876998 | 0.002102
6.000000 | 0.155486 | -1.764311 | 0.001963
6.000000 | 0.157381 | -1.890078 | 0.002239
6.000000 | 0.161447 | -2.046803 | 0.001884
6.000000 | 0.156520 | -2.249485 | 0.002055
6.000000 | 0.158858 | -2.622185 | 0.002068
6.000000 | 0.155734 | -2.281836 | 0.001901
6.000000 | 0.156154 | -2.469324 | 0.001987
6.000000 | 0.160999 | -2.170991 | 0.001950
6.000000 | 0.162834 | -1.775335 | 0.001889
6.000000 | 0.161787 | -2.182707 | 0.001991
6.000000 | 0.162223 | -2.289210 | 0.002075
6.000000 | 0.156621 | -2.283674 | 0.002100
6.000000 | 0.160044 | -2.225376 | 0.001952
6.000000 | 0.158527 | -3.112419 | 0.002150
6.000000 | 0.157579 | -2.033106 | 0.002049
6.000000 | 0.157087 | -2.607845 | 0.002158
6.000000 | 0.157415 | -2.395177 | 0.001996
6.000000 | 0.159696 | -2.102377 | 0.001979
6.000000 | 0.156791 | -2.714761 | 0.002093
6.000000 | 0.157444 | -2.640924 | 0.002435
6.000000 | 0.157467 | -2.664424 | 0.002074
6.000000 | 0.156470 | -2.390359 | 0.001971
6.000000 | 0.157715 | -2.582655 | 0.002048
6.000000 | 0.155747 | -1.695602 | 0.001822
6.000000 | 0.156198 | -2.218478 | 0.002075
6.000000 | 0.155270 | -1.535728 | 0.001855
6.000000 | 0.156160 | -2.344648 | 0.001902
6.000000 | 0.156084 | -1.652710 | 0.002210
6.000000 | 0.155821 | -2.102534 | 0.002168
6.000000 | 0.158488 | -2.497386 | 0.001930
6.000000 | 0.157719 | -2.430435 | 0.001972
6.000000 | 0.156817 | -2.634368 | 0.002063
6.000000 | 0.155428 | -2.031778 | 0.002134
6.000000 | 0.156163 | -1.813273 | 0.002198
6.000000 | 0.157215 | -2.348990 | 0.002330
6.000000 | 0.156530 | -2.077086 | 0.001946
6.000000 | 0.158415 | -1.584749 | 0.002268
