log10 N | Total Time | log10 error | standard dev.
3.000000 | 0.000276 | -1.407046 | 0.038596
3.000000 | 0.000182 | -0.962112 | 0.049465
3.000000 | 0.000186 | -1.136892 | 0.045956
3.000000 | 0.000191 | -0.335836 | 0.026388
3.000000 | 0.000148 | -0.616490 | 0.051236
3.000000 | 0.000331 | -1.398620 | 0.041283
3.000000 | 0.000279 | -0.214737 | 0.028065
3.000000 | 0.000153 | -0.262211 | 0.024545
3.000000 | 0.000286 | -0.793210 | 0.060154
3.000000 | 0.000235 | -0.296160 | 0.185891
3.000000 | 0.000223 | -0.349957 | 0.025075
3.000000 | 0.000234 | -0.515709 | 0.087603
3.000000 | 0.000248 | -0.232221 | 0.023541
3.000000 | 0.000237 | -0.719056 | 0.039043
3.000000 | 0.000266 | -1.190079 | 0.074787
3.000000 | 0.000219 | -1.140768 | 0.046604
3.000000 | 0.000748 | -0.184627 | 0.029327
3.000000 | 0.000151 | -0.181722 | 0.021739
3.000000 | 0.000254 | -1.057203 | 0.047876
3.000000 | 0.000227 | -0.384605 | 0.133978
3.000000 | 0.000228 | -0.632838 | 0.072808
3.000000 | 0.000181 | -1.612383 | 0.046462
3.000000 | 0.000176 | -0.321191 | 0.024775
3.000000 | 0.000152 | -0.126157 | 0.022580
3.000000 | 0.000182 | -0.679001 | 0.035249
3.000000 | 0.000152 | -0.675486 | 0.041245
3.000000 | 0.000172 | -1.096436 | 0.040770
3.000000 | 0.000176 | -1.084450 | 0.057480
3.000000 | 0.000165 | -1.424404 | 0.041901
3.000000 | 0.000152 | -0.503619 | 0.034343
3.000000 | 0.000170 | -0.518365 | 0.136381
3.000000 | 0.000161 | -0.359003 | 0.024859
3.000000 | 0.000172 | -0.921358 | 0.046301
3.000000 | 0.000152 | -1.557829 | 0.047462
3.000000 | 0.000161 | -1.216129 | 0.036651
3.000000 | 0.000161 | -0.807668 | 0.054237
3.000000 | 0.000168 | -0.829092 | 0.033913
3.000000 | 0.000163 | -0.497677 | 0.150965
3.000000 | 0.000171 | -0.154358 | 0.020328
3.000000 | 0.000161 | -1.113311 | 0.062617
3.000000 | 0.000186 | -0.924893 | 0.059415
3.000000 | 0.000181 | -0.394780 | 0.114142
3.000000 | 0.000199 | -0.436503 | 0.029263
3.000000 | 0.000179 | -0.124630 | 0.019428
3.000000 | 0.000151 | -1.047095 | 0.043024
3.000000 | 0.000171 | -1.817617 | 0.051933
3.000000 | 0.000151 | -0.226343 | 0.025901
3.000000 | 0.000162 | -0.543391 | 0.037835
3.000000 | 0.000170 | -0.383436 | 0.027930
3.000000 | 0.000161 | -0.968590 | 0.041140
3.000000 | 0.000159 | -0.551563 | 0.090124
3.000000 | 0.000168 | -1.333797 | 0.062650
3.000000 | 0.000153 | -0.814139 | 0.033469
3.000000 | 0.000153 | -1.299180 | 0.104494
3.000000 | 0.000186 | -1.380735 | 0.048172
3.000000 | 0.000150 | -1.403926 | 0.049033
3.000000 | 0.000162 | -0.565942 | 0.050192
3.000000 | 0.000168 | -0.261298 | 0.025384
3.000000 | 0.000152 | -0.756948 | 0.062290
3.000000 | 0.000154 | -0.465038 | 0.028575
3.000000 | 0.000170 | -0.770955 | 0.040829
3.000000 | 0.000163 | -0.430281 | 0.023728
3.000000 | 0.000154 | -0.735794 | 0.052290
3.000000 | 0.000165 | -0.145326 | 0.020680
3.000000 | 0.000170 | -1.656319 | 0.041123
3.000000 | 0.000152 | -0.453470 | 0.028364
3.000000 | 0.000170 | -0.509791 | 0.026617
3.000000 | 0.000163 | -0.606170 | 0.071043
3.000000 | 0.000152 | -0.823021 | 0.030936
3.000000 | 0.000152 | -0.918560 | 0.040712
3.000000 | 0.000153 | -0.452111 | 0.182513
3.000000 | 0.000186 | -0.759942 | 0.057738
3.000000 | 0.000169 | -0.486384 | 0.029329
3.000000 | 0.000163 | -0.839450 | 0.039297
3.000000 | 0.000164 | -1.818147 | 0.049190
3.000000 | 0.000152 | -0.380920 | 0.025583
3.000000 | 0.000159 | -0.164859 | 0.023815
3.000000 | 0.000167 | -0.518297 | 0.026027
3.000000 | 0.000152 | -1.041757 | 0.038278
3.000000 | 0.000199 | -0.204965 | 0.023723
3.000000 | 0.000189 | -1.204358 | 0.073924
3.000000 | 0.000158 | -0.448577 | 0.025283
3.000000 | 0.000154 | -0.737827 | 0.033348
3.000000 | 0.000167 | -0.474134 | 0.036094
3.000000 | 0.000172 | -0.425598 | 0.028646
3.000000 | 0.000236 | -1.493904 | 0.048162
3.000000 | 0.000154 | -0.152955 | 0.023697
3.000000 | 0.000162 | -1.647440 | 0.048197
3.000000 | 0.000152 | -0.682427 | 0.031608
3.000000 | 0.000152 | -1.136577 | 0.040544
3.000000 | 0.000192 | -0.945045 | 0.047335
3.000000 | 0.000162 | -0.944295 | 0.036429
3.000000 | 0.000152 | -0.776372 | 0.038266
3.000000 | 0.000161 | -0.480844 | 0.030460
3.000000 | 0.000152 | -1.087895 | 0.038675
3.000000 | 0.000156 | -0.554680 | 0.073798
3.000000 | 0.000153 | -0.541454 | 0.081310
3.000000 | 0.000172 | -0.546543 | 0.041097
3.000000 | 0.000150 | -0.395485 | 0.072803
3.000000 | 0.000163 | -0.565890 | 0.070799
