log10 N | Total Time | log10 error | standard dev.
5.000000 | 0.037846 | -1.472934 | 0.003485
5.000000 | 0.036900 | -1.927827 | 0.003138
5.000000 | 0.036654 | -2.413402 | 0.003032
5.000000 | 0.036530 | -2.278500 | 0.003576
5.000000 | 0.035898 | -2.538150 | 0.003037
5.000000 | 0.036184 | -2.163078 | 0.003239
5.000000 | 0.037083 | -1.935736 | 0.003432
5.000000 | 0.036468 | -2.448100 | 0.003017
5.000000 | 0.036633 | -1.798511 | 0.003443
5.000000 | 0.036253 | -1.578225 | 0.002817
5.000000 | 0.037333 | -1.672722 | 0.003773
5.000000 | 0.037201 | -1.722519 | 0.003950
5.000000 | 0.037563 | -2.039662 | 0.003200
5.000000 | 0.036652 | -1.770509 | 0.003058
5.000000 | 0.036416 | -1.543805 | 0.004110
5.000000 | 0.036198 | -2.061049 | 0.002981
5.000000 | 0.037672 | -1.388548 | 0.002978
5.000000 | 0.037905 | -1.834200 | 0.003101
5.000000 | 0.043026 | -1.911754 | 0.003243
5.000000 | 0.041658 | -1.762221 | 0.003321
5.000000 | 0.037768 | -1.765323 | 0.003196
5.000000 | 0.037464 | -1.529521 | 0.003120
5.000000 | 0.036128 | -2.230224 | 0.003047
5.000000 | 0.037730 | -3.401347 | 0.003205
5.000000 | 0.042531 | -1.941193 | 0.003178
5.000000 | 0.041104 | -1.562130 | 0.003265
5.000000 | 0.042278 | -2.354710 | 0.003109
5.000000 | 0.040418 | -2.204813 | 0.003160
5.000000 | 0.039168 | -1.693211 | 0.002781
5.000000 | 0.037872 | -2.130396 | 0.003533
5.000000 | 0.036808 | -1.925205 | 0.003570
5.000000 | 0.039421 | -2.435306 | 0.003103
5.000000 | 0.036780 | -1.926583 | 0.003232
5.000000 | 0.036724 | -1.666790 | 0.003442
5.000000 | 0.038057 | -2.884232 | 0.003140
5.000000 | 0.036818 | -1.910660 | 0.003234
5.000000 | 0.038754 | -1.732538 | 0.003153
5.000000 | 0.038178 | -1.839798 | 0.003194
5.000000 | 0.039822 | -1.869503 | 0.003064
5.000000 | 0.045062 | -2.225784 | 0.003104
5.000000 | 0.041371 | -1.921340 | 0.003158
5.000000 | 0.037251 | -2.448207 | 0.003076
5.000000 | 0.060546 | -1.741070 | 0.003042
5.000000 | 0.044738 | -2.793217 | 0.003197
5.000000 | 0.047565 | -1.606568 | 0.002828
5.000000 | 0.039614 | -2.383748 | 0.002891
5.000000 | 0.040517 | -1.921915 | 0.003151
5.000000 | 0.040260 | -1.985719 | 0.002968
5.000000 | 0.038226 | -2.317021 | 0.003188
5.000000 | 0.038413 | -2.813683 | 0.003266
5.000000 | 0.038271 | -2.529925 | 0.003025
5.000000 | 0.041165 | -1.923022 | 0.003093
5.000000 | 0.038023 | -1.804550 | 0.004232
5.000000 | 0.040926 | -2.604392 | 0.003415
5.000000 | 0.038662 | -1.622807 | 0.003450
5.000000 | 0.037991 | -2.300124 | 0.002961
5.000000 | 0.038198 | -1.994547 | 0.003732
5.000000 | 0.037932 | -1.832064 | 0.003138
5.000000 | 0.038493 | -2.226142 | 0.002985
5.000000 | 0.038689 | -2.666328 | 0.003117
5.000000 | 0.039334 | -2.123933 | 0.002979
5.000000 | 0.038279 | -2.112239 | 0.003751
5.000000 | 0.041073 | -2.423859 | 0.003303
5.000000 | 0.044830 | -1.375359 | 0.002725
5.000000 | 0.045973 | -1.695335 | 0.002970
5.000000 | 0.040755 | -3.342419 | 0.003202
5.000000 | 0.037810 | -1.520263 | 0.003364
5.000000 | 0.037792 | -2.744782 | 0.003266
5.000000 | 0.038213 | -2.244346 | 0.003123
5.000000 | 0.037983 | -1.898679 | 0.003287
5.000000 | 0.038035 | -2.757717 | 0.003070
5.000000 | 0.038338 | -1.605658 | 0.003865
5.000000 | 0.038166 | -2.429873 | 0.002994
5.000000 | 0.038062 | -1.958041 | 0.002920
5.000000 | 0.039363 | -1.625610 | 0.002805
5.000000 | 0.038099 | -2.211522 | 0.003179
5.000000 | 0.038341 | -1.704611 | 0.002799
5.000000 | 0.039357 | -1.741691 | 0.002992
5.000000 | 0.037403 | -1.834562 | 0.003704
5.000000 | 0.042427 | -2.831863 | 0.003656
5.000000 | 0.038157 | -2.414059 | 0.003194
5.000000 | 0.038142 | -2.098684 | 0.003908
5.000000 | 0.037946 | -2.195401 | 0.003272
5.000000 | 0.038234 | -1.903200 | 0.003413
5.000000 | 0.038480 | -1.566569 | 0.002852
5.000000 | 0.037829 | -1.701479 | 0.003413
5.000000 | 0.038196 | -2.233897 | 0.002999
5.000000 | 0.039146 | -2.507172 | 0.003355
5.000000 | 0.038721 | -1.540777 | 0.003202
5.000000 | 0.037260 | -2.016902 | 0.002708
5.000000 | 0.038102 | -1.820398 | 0.002729
5.000000 | 0.037312 | -2.338752 | 0.003312
5.000000 | 0.037455 | -2.395115 | 0.004490
5.000000 | 0.041432 | -2.548364 | 0.003087
5.000000 | 0.038162 | -1.634526 | 0.003136
5.000000 | 0.037833 | -1.479048 | 0.002805
5.000000 | 0.037718 | -1.459193 | 0.004687
5.000000 | 0.037833 | -2.623991 | 0.003077
5.000000 | 0.037328 | -2.766278 | 0.003074
5.000000 | 0.036768 | -1.956258 | 0.003632
