log10 N | Total Time | log10 error | standard dev.
7.000000 | 3.933961 | -3.472103 | 0.000328
7.000000 | 3.581853 | -4.777650 | 0.000327
7.000000 | 3.569009 | -3.105253 | 0.000322
7.000000 | 3.469140 | -2.879511 | 0.000361
7.000000 | 3.747605 | -4.518281 | 0.000346
7.000000 | 3.604796 | -2.555516 | 0.000330
7.000000 | 3.683471 | -3.454522 | 0.000325
7.000000 | 3.629339 | -2.472209 | 0.000367
7.000000 | 3.631600 | -2.842970 | 0.000335
7.000000 | 3.558656 | -2.773751 | 0.000335
7.000000 | 3.531350 | -2.595433 | 0.000332
7.000000 | 3.541095 | -2.920189 | 0.000334
7.000000 | 3.512682 | -2.529441 | 0.000340
7.000000 | 3.575526 | -2.939600 | 0.000340
7.000000 | 3.610554 | -2.917089 | 0.000338
7.000000 | 3.596114 | -4.271141 | 0.000330
7.000000 | 3.621711 | -2.658294 | 0.000334
7.000000 | 3.602498 | -2.677587 | 0.000347
7.000000 | 3.561527 | -2.754139 | 0.000334
7.000000 | 3.660630 | -2.655741 | 0.000321
7.000000 | 3.796431 | -3.004819 | 0.000339
7.000000 | 3.592869 | -2.426631 | 0.000319
7.000000 | 3.609960 | -2.771334 | 0.000334
7.000000 | 3.559324 | -2.422592 | 0.000321
7.000000 | 3.558309 | -2.422796 | 0.000319
7.000000 | 3.601122 | -2.436878 | 0.000330
7.000000 | 3.614933 | -3.397883 | 0.000337
7.000000 | 3.587130 | -3.334621 | 0.000327
7.000000 | 3.582656 | -4.816508 | 0.000350
7.000000 | 3.570033 | -3.123364 | 0.000373
7.000000 | 3.590759 | -3.115534 | 0.000335
7.000000 | 3.630100 | -2.956667 | 0.000407
7.000000 | 3.539150 | -3.349013 | 0.000340
7.000000 | 3.543310 | -2.503203 | 0.000342
7.000000 | 3.593958 | -4.470368 | 0.000336
7.000000 | 3.598754 | -3.559357 | 0.000336
7.000000 | 3.666599 | -3.559159 | 0.000331
7.000000 | 3.641293 | -2.791816 | 0.000335
7.000000 | 3.539166 | -2.678610 | 0.000325
7.000000 | 3.549222 | -2.612024 | 0.000334
7.000000 | 3.585320 | -2.591204 | 0.000326
7.000000 | 3.558538 | -2.865702 | 0.000323
7.000000 | 3.638180 | -3.112139 | 0.000352
7.000000 | 3.581433 | -2.462143 | 0.000336
7.000000 | 3.589002 | -3.128714 | 0.000330
7.000000 | 3.642807 | -2.800180 | 0.000335
7.000000 | 3.598340 | -3.508112 | 0.000327
7.000000 | 3.587554 | -2.797651 | 0.000329
7.000000 | 3.690543 | -2.974017 | 0.000339
7.000000 | 3.563072 | -3.640112 | 0.000323
7.000000 | 3.592276 | -3.017991 | 0.000331
7.000000 | 3.555306 | -4.264960 | 0.000332
7.000000 | 3.489673 | -3.430181 | 0.000327
7.000000 | 3.495225 | -2.687190 | 0.000328
7.000000 | 3.593165 | -3.082206 | 0.000338
7.000000 | 3.500910 | -2.818571 | 0.000325
7.000000 | 4.337607 | -2.948669 | 0.000335
7.000000 | 3.628135 | nan | -nan
7.000000 | 3.636884 | -3.256386 | 0.000335
7.000000 | 3.574766 | -2.863746 | 0.000332
7.000000 | 3.555237 | -3.478531 | 0.000334
7.000000 | 3.559587 | -3.058061 | 0.000336
7.000000 | 3.494309 | -2.509598 | 0.000331
7.000000 | 3.510512 | -2.755601 | 0.000388
7.000000 | 3.585194 | -4.793166 | 0.000329
7.000000 | 3.547130 | -2.653741 | 0.000330
7.000000 | 3.474604 | -3.152946 | 0.000337
7.000000 | 3.569861 | -3.457578 | 0.000331
7.000000 | 3.583939 | -2.494933 | 0.000322
7.000000 | 3.563738 | -2.551080 | 0.000326
7.000000 | 3.601137 | -2.386240 | 0.000325
7.000000 | 3.514944 | -2.686537 | 0.000327
7.000000 | 3.589338 | -3.356761 | 0.000331
7.000000 | 3.603399 | -2.385825 | 0.000338
7.000000 | 3.556145 | -2.576948 | 0.000318
7.000000 | 3.575907 | -2.641034 | 0.000328
7.000000 | 3.568698 | -3.055483 | 0.000324
7.000000 | 3.605106 | -2.979377 | 0.000333
7.000000 | 3.561424 | -2.933224 | 0.000328
7.000000 | 3.590181 | -3.003890 | 0.000336
7.000000 | 3.593559 | -2.589905 | 0.000340
7.000000 | 3.606701 | -2.925721 | 0.000321
7.000000 | 3.592828 | -3.221579 | 0.000346
7.000000 | 3.578197 | -3.412914 | 0.000338
7.000000 | 3.574354 | -2.727178 | 0.000332
7.000000 | 3.599169 | -2.943489 | 0.000344
7.000000 | 3.579089 | -3.317085 | 0.000333
7.000000 | 3.715790 | -2.732693 | 0.000328
7.000000 | 3.590783 | -3.516071 | 0.000328
7.000000 | 3.586575 | -2.301301 | 0.000326
7.000000 | 3.600070 | -2.434014 | 0.000382
7.000000 | 3.588031 | -2.779363 | 0.000327
7.000000 | 3.638177 | -3.107237 | 0.000336
7.000000 | 3.531757 | -2.544470 | 0.000327
7.000000 | 3.561454 | -4.309608 | 0.000333
7.000000 | 3.644884 | -2.915490 | 0.000338
7.000000 | 3.581571 | -2.745597 | 0.000347
7.000000 | 3.595092 | -3.601461 | 0.000327
7.000000 | 3.648444 | -2.737689 | 0.000332
7.000000 | 3.577703 | -2.556738 | 0.000335
