log10 N | Total Time | log10 error | standard dev.
7.000000 | 1.991113 | -3.223975 | 0.000650
7.000000 | 1.826512 | -2.201697 | 0.000644
7.000000 | 1.553340 | -3.226372 | 0.000638
7.000000 | 1.561646 | -3.935610 | 0.000674
7.000000 | 1.583486 | -2.471551 | 0.000686
7.000000 | 1.876836 | -2.333047 | 0.000793
7.000000 | 1.580297 | -2.720849 | 0.000646
7.000000 | 1.555886 | -2.641371 | 0.000643
7.000000 | 1.553372 | -2.339585 | 0.000643
7.000000 | 1.571880 | -2.444238 | 0.000672
7.000000 | 1.558664 | -2.072174 | 0.000673
7.000000 | 1.555219 | -2.980949 | 0.000655
7.000000 | 1.554580 | -2.245430 | 0.000786
7.000000 | 1.550445 | -2.323384 | 0.000635
7.000000 | 1.552276 | -3.739349 | 0.000660
7.000000 | 1.566695 | -3.062759 | 0.000657
7.000000 | 1.554406 | -4.410230 | 0.000676
7.000000 | 1.554839 | -3.740233 | 0.000640
7.000000 | 1.558190 | -2.711477 | 0.000662
7.000000 | 1.551384 | -3.680477 | 0.000679
7.000000 | 1.619272 | -3.231658 | 0.000627
7.000000 | 1.549985 | -2.040124 | 0.000629
7.000000 | 1.559956 | -2.157760 | 0.000720
7.000000 | 1.556344 | -2.734959 | 0.000677
7.000000 | 1.555647 | -3.054519 | 0.000654
7.000000 | 1.580088 | -2.580029 | 0.000642
7.000000 | 1.551743 | -2.874966 | 0.000663
7.000000 | 1.571817 | -3.122229 | 0.000679
7.000000 | 1.627886 | -2.392835 | 0.000641
7.000000 | 1.552177 | -2.906102 | 0.000643
7.000000 | 1.623444 | -4.963099 | 0.000680
7.000000 | 1.578912 | -2.371024 | 0.000630
7.000000 | 1.555377 | -3.388491 | 0.000651
7.000000 | 1.582102 | -2.734084 | 0.000663
7.000000 | 1.557507 | -2.545981 | 0.000665
7.000000 | 1.557023 | -3.200645 | 0.000653
7.000000 | 1.552927 | -2.541161 | 0.000654
7.000000 | 1.551642 | -2.635247 | 0.000664
7.000000 | 1.555060 | -2.348501 | 0.000652
7.000000 | 1.556174 | -2.823363 | 0.000677
7.000000 | 1.551618 | -3.566614 | 0.000666
7.000000 | 1.570176 | -2.516861 | 0.000668
7.000000 | 1.550185 | -3.334120 | 0.000661
7.000000 | 1.566212 | -2.869801 | 0.000665
7.000000 | 1.553195 | -3.889213 | 0.000638
7.000000 | 1.562236 | -2.617978 | 0.000669
7.000000 | 1.558063 | -2.683538 | 0.000667
7.000000 | 1.572161 | -2.663600 | 0.000642
7.000000 | 1.654395 | -2.714375 | 0.000653
7.000000 | 1.560073 | -2.200130 | 0.000660
7.000000 | 1.552044 | -2.520674 | 0.000683
7.000000 | 1.545252 | -3.696383 | 0.000647
7.000000 | 1.552178 | -2.348794 | 0.000644
7.000000 | 1.550909 | -2.242479 | 0.000674
7.000000 | 1.567437 | -2.617960 | 0.000671
7.000000 | 1.556007 | -2.511358 | 0.000688
7.000000 | 1.557653 | -2.403473 | 0.000667
7.000000 | 1.563336 | -3.531801 | 0.000638
7.000000 | 1.615895 | -2.557333 | 0.000640
7.000000 | 1.552386 | -2.527794 | 0.000652
7.000000 | 1.573353 | -3.189857 | 0.000730
7.000000 | 1.563660 | -2.291311 | 0.000647
7.000000 | 1.549314 | -3.300684 | 0.000650
7.000000 | 1.558419 | -2.560440 | 0.000636
7.000000 | 1.558063 | -2.315629 | 0.000685
7.000000 | 1.681363 | -3.086194 | 0.000647
7.000000 | 1.664168 | -3.512320 | 0.000667
7.000000 | 1.556545 | -2.418118 | 0.000661
7.000000 | 1.552837 | -2.897786 | 0.000636
7.000000 | 1.550835 | -2.353272 | 0.000650
7.000000 | 1.556136 | -2.458883 | 0.000643
7.000000 | 1.564552 | -2.509343 | 0.000628
7.000000 | 1.623380 | -2.225056 | 0.000659
7.000000 | 1.718470 | -3.397919 | 0.000659
7.000000 | 1.666446 | -2.362348 | 0.000684
7.000000 | 1.558607 | -4.369700 | 0.000723
7.000000 | 1.558462 | -2.955461 | 0.000657
7.000000 | 1.552604 | -2.637669 | 0.000667
7.000000 | 1.557242 | -3.143615 | 0.000660
7.000000 | 1.564642 | -2.423574 | 0.000706
7.000000 | 1.558587 | -2.724864 | 0.000642
7.000000 | 1.554119 | -2.763514 | 0.000650
7.000000 | 1.555235 | -3.118811 | 0.000645
7.000000 | 1.554278 | -2.408813 | 0.000663
7.000000 | 1.556752 | -2.201705 | 0.000662
7.000000 | 1.621027 | -3.376504 | 0.000652
7.000000 | 1.562475 | -2.830597 | 0.000659
7.000000 | 1.553051 | -2.635163 | 0.000678
7.000000 | 1.550323 | -2.379350 | 0.000634
7.000000 | 1.555052 | -2.217618 | 0.000643
7.000000 | 1.553475 | -2.712178 | 0.000640
7.000000 | 1.553449 | -2.317838 | 0.000632
7.000000 | 1.563453 | -2.757991 | 0.000739
7.000000 | 1.615366 | -2.950863 | 0.000674
7.000000 | 1.555614 | -2.663246 | 0.000654
7.000000 | 1.558319 | -2.849385 | 0.000682
7.000000 | 1.616069 | -2.294199 | 0.000652
7.000000 | 1.605305 | -4.365013 | 0.000714
7.000000 | 1.560399 | -2.364788 | 0.000678
7.000000 | 1.564188 | -2.876092 | 0.000654
