log10 N | Total Time | log10 error | standard dev.
3.000000 | 0.000571 | -2.317318 | 0.023492
3.000000 | 0.000491 | -1.432682 | 0.027318
3.000000 | 0.000588 | -0.157956 | 0.011402
3.000000 | 0.000390 | -0.431465 | 0.016212
3.000000 | 0.000360 | -0.811400 | 0.021665
3.000000 | 0.000434 | -0.685919 | 0.040910
3.000000 | 0.000337 | -1.054731 | 0.023596
3.000000 | 0.000481 | -1.224377 | 0.022464
3.000000 | 0.000336 | -1.490197 | 0.029205
3.000000 | 0.000337 | -0.767645 | 0.020536
3.000000 | 0.000397 | -0.871857 | 0.050357
3.000000 | 0.000334 | -1.260687 | 0.024990
3.000000 | 0.000335 | -1.139512 | 0.028931
3.000000 | 0.000396 | -0.968455 | 0.040517
3.000000 | 0.000334 | -1.045920 | 0.031904
3.000000 | 0.000333 | -1.625398 | 0.022555
3.000000 | 0.000395 | -1.042033 | 0.030041
3.000000 | 0.000336 | -1.904218 | 0.035337
3.000000 | 0.000333 | -0.837637 | 0.032133
3.000000 | 0.000383 | -1.043745 | 0.024505
3.000000 | 0.000333 | -0.868063 | 0.019667
3.000000 | 0.000351 | -2.217496 | 0.021332
3.000000 | 0.000400 | -0.940662 | 0.027273
3.000000 | 0.000346 | -1.142265 | 0.027503
3.000000 | 0.000370 | -0.790075 | 0.043623
3.000000 | 0.000372 | -1.149255 | 0.022159
3.000000 | 0.000749 | -1.096537 | 0.023216
3.000000 | 0.000796 | -1.834256 | 0.025958
3.000000 | 0.000812 | -2.125313 | 0.023733
3.000000 | 0.001246 | -0.635211 | 0.043006
3.000000 | 0.000373 | -0.844372 | 0.016143
3.000000 | 0.000430 | -1.277200 | 0.021617
3.000000 | 0.000383 | -0.779660 | 0.040893
3.000000 | 0.000408 | -0.962962 | 0.020840
3.000000 | 0.000439 | -0.757246 | 0.016613
3.000000 | 0.000375 | -2.092005 | 0.026441
3.000000 | 0.000430 | -1.095592 | 0.022811
3.000000 | 0.000335 | -1.066338 | 0.022311
3.000000 | 0.000368 | -1.146783 | 0.020480
3.000000 | 0.000376 | -0.655428 | 0.034690
3.000000 | 0.000403 | -1.313224 | 0.023496
3.000000 | 0.000373 | -1.246502 | 0.020871
3.000000 | 0.000361 | -1.603250 | 0.035437
3.000000 | 0.000359 | -1.682897 | 0.023847
3.000000 | 0.000425 | -0.963104 | 0.042665
3.000000 | 0.000335 | -1.308955 | 0.031712
3.000000 | 0.000334 | -0.874128 | 0.018929
3.000000 | 0.000406 | -1.347893 | 0.035680
3.000000 | 0.000435 | -1.148562 | 0.030696
3.000000 | 0.000387 | -1.247810 | 0.037116
3.000000 | 0.000373 | -0.988763 | 0.022983
3.000000 | 0.000375 | -0.792749 | 0.052146
3.000000 | 0.000371 | -0.852721 | 0.016854
3.000000 | 0.000357 | -0.791842 | 0.019279
3.000000 | 0.000360 | -0.780347 | 0.020591
3.000000 | 0.000375 | -0.726221 | 0.020089
3.000000 | 0.000360 | -0.304992 | 0.014300
3.000000 | 0.000373 | -0.941188 | 0.022291
3.000000 | 0.000371 | -1.195149 | 0.024023
3.000000 | 0.000360 | -0.729359 | 0.026298
3.000000 | 0.000372 | -0.926879 | 0.032349
3.000000 | 0.000357 | -1.446378 | 0.032820
3.000000 | 0.000359 | -0.571662 | 0.018693
3.000000 | 0.000376 | -1.392389 | 0.028323
3.000000 | 0.000360 | -0.541433 | 0.057042
3.000000 | 0.000358 | -1.465258 | 0.035374
3.000000 | 0.000432 | -2.827018 | 0.028289
3.000000 | 0.000338 | -1.341356 | 0.030333
3.000000 | 0.000371 | -2.165578 | 0.029204
3.000000 | 0.000595 | -2.167831 | 0.036203
3.000000 | 0.000787 | -1.119470 | 0.025052
3.000000 | 0.000718 | -0.886972 | 0.017920
3.000000 | 0.000597 | -0.917618 | 0.028084
3.000000 | 0.000500 | -1.167438 | 0.026065
3.000000 | 0.000483 | -0.579754 | 0.054697
3.000000 | 0.000403 | -0.733249 | 0.020482
3.000000 | 0.000372 | -1.152252 | 0.025653
3.000000 | 0.000408 | -0.911616 | 0.020923
3.000000 | 0.000502 | -1.088079 | 0.040935
3.000000 | 0.000590 | -1.571401 | 0.024503
3.000000 | 0.000423 | -1.099989 | 0.023510
3.000000 | 0.000337 | -1.264576 | 0.030596
3.000000 | 0.000437 | -1.362417 | 0.032597
3.000000 | 0.000349 | -0.773920 | 0.034114
3.000000 | 0.000437 | -0.741382 | 0.027784
3.000000 | 0.000336 | -1.000371 | 0.026405
3.000000 | 0.000334 | -0.865544 | 0.028100
3.000000 | 0.000399 | -2.483291 | 0.025214
3.000000 | 0.000335 | -1.353626 | 0.025868
3.000000 | 0.000335 | -0.822569 | 0.030652
3.000000 | 0.000386 | -1.850917 | 0.028639
3.000000 | 0.000337 | -1.123001 | 0.027682
3.000000 | 0.000393 | -0.828409 | 0.023788
3.000000 | 0.000335 | -2.022252 | 0.022786
3.000000 | 0.000335 | -3.358863 | 0.030198
3.000000 | 0.000409 | -0.875836 | 0.027103
3.000000 | 0.000366 | -1.269554 | 0.025476
3.000000 | 0.000360 | -0.631057 | 0.015949
3.000000 | 0.000358 | -1.496080 | 0.024007
3.000000 | 0.000421 | -1.060315 | 0.022997
